2026-05-08 09:13:13.906 [info] Reading sessions from keychain...
2026-05-08 09:13:13.906 [info] Getting sessions for all scopes...
2026-05-08 09:13:13.936 [info] Got stored sessions!
2026-05-08 09:13:13.936 [info] Got 6 verified sessions.
2026-05-08 09:13:13.936 [info] Got 6 sessions for ...
2026-05-08 09:13:13.936 [info] Getting sessions for all scopes...
2026-05-08 09:13:13.936 [info] Got 6 sessions for ...
2026-05-08 09:13:13.936 [info] Getting sessions for all scopes...
2026-05-08 09:13:13.936 [info] Got 6 sessions for ...
2026-05-08 09:13:13.938 [info] Getting sessions for all scopes...
2026-05-08 09:13:13.938 [info] Got 6 sessions for ...
2026-05-08 09:13:14.030 [info] Getting sessions for user:email...
2026-05-08 09:13:14.031 [info] Got 1 sessions for user:email...
2026-05-08 09:13:15.836 [info] Getting sessions for all scopes...
2026-05-08 09:13:15.836 [info] Got 6 sessions for ...
2026-05-08 09:13:15.836 [info] Getting sessions for codespace,read:user,repo,user:email...
2026-05-08 09:13:15.836 [info] Got 1 sessions for codespace,read:user,repo,user:email...
2026-05-08 09:13:15.836 [info] Getting sessions for all scopes...
2026-05-08 09:13:15.836 [info] Got 6 sessions for ...
2026-05-08 09:13:16.053 [info] Getting sessions for all scopes...
2026-05-08 09:13:16.053 [info] Got 6 sessions for ...
2026-05-08 09:13:16.862 [info] Getting sessions for all scopes...
2026-05-08 09:13:16.862 [info] Got 6 sessions for ...
2026-05-08 09:13:17.422 [info] Getting sessions for project,read:org,read:user,repo,user:email,workflow...
2026-05-08 09:13:17.422 [info] Got 0 sessions for project,read:org,read:user,repo,user:email,workflow...
2026-05-08 09:13:17.660 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-08 09:13:17.660 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-08 09:13:17.660 [info] Getting sessions for all scopes...
2026-05-08 09:13:17.660 [info] Got 6 sessions for ...
2026-05-08 09:13:17.747 [info] Getting sessions for all scopes...
2026-05-08 09:13:17.747 [info] Got 6 sessions for ...
2026-05-08 09:13:17.938 [info] Getting sessions for all scopes...
2026-05-08 09:13:17.939 [info] Got 6 sessions for ...
2026-05-08 09:13:18.065 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-05-08 09:13:18.065 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-05-08 09:13:18.163 [info] FetcherService: Node fetch failed with status: 429 Too Many Requests
2026-05-08 09:13:18.168 [info] Unable to resolve optional EDU details. Status: 429 Too Many Requests
2026-05-08 09:13:30.306 [info] Getting sessions for all scopes...
2026-05-08 09:13:30.306 [info] Got 6 sessions for ...
2026-05-08 09:13:30.404 [info] Getting sessions for all scopes...
2026-05-08 09:13:30.404 [info] Got 6 sessions for ...
2026-05-08 09:13:48.905 [info] Getting sessions for all scopes...
2026-05-08 09:13:48.905 [info] Got 6 sessions for ...
2026-05-08 09:13:49.376 [info] Getting sessions for all scopes...
2026-05-08 09:13:49.376 [info] Got 6 sessions for ...
2026-05-08 09:14:20.359 [info] Getting sessions for all scopes...
2026-05-08 09:14:20.359 [info] Got 6 sessions for ...
2026-05-08 09:14:20.599 [info] Getting sessions for all scopes...
2026-05-08 09:14:20.599 [info] Got 6 sessions for ...
2026-05-08 09:14:45.338 [info] Getting sessions for all scopes...
2026-05-08 09:14:45.566 [info] Got 6 sessions for ...
2026-05-08 09:14:45.665 [info] Getting sessions for all scopes...
2026-05-08 09:14:45.665 [info] Got 6 sessions for ...
2026-05-08 09:20:00.789 [info] Getting sessions for all scopes...
2026-05-08 09:20:00.794 [info] Got 6 sessions for ...
2026-05-08 09:20:00.975 [info] Getting sessions for all scopes...
2026-05-08 09:20:00.976 [info] Got 6 sessions for ...
2026-05-08 09:20:26.866 [info] Getting sessions for all scopes...
2026-05-08 09:20:26.867 [info] Got 6 sessions for ...
2026-05-08 09:20:27.041 [info] Getting sessions for all scopes...
2026-05-08 09:20:27.041 [info] Got 6 sessions for ...
2026-05-08 09:20:53.506 [info] Getting sessions for all scopes...
2026-05-08 09:20:53.506 [info] Got 6 sessions for ...
2026-05-08 09:20:53.751 [info] Getting sessions for all scopes...
2026-05-08 09:20:53.751 [info] Got 6 sessions for ...
